setting,setting_label,variant,variant_label,rule,success_denominator,min_successful_digital,min_better_total,count_k,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
experiment_A,Exp A focal,hazard,hazard,hazard,better,0,0,1,0.0,0.499,0.476,0.525,10.0,9.0,12.0,95.0,86.0,100.0,,,,85.0,76.0,90.0,0.015,0.012999999999999984,0.018000000000000002,250,0.0,0.015133847249623387
experiment_A,Exp A focal,frequency_based,frequency-based,simple,better,0,0,1,0.0,0.013,0.01,0.019,,,,,,,,,,,,,0.004,0.001,0.007000000000000001,250,0.0,0.015133847249623387
experiment_A,Exp A focal,success_original,success: better denom,complex,better,0,0,1,0.988,0.901,0.79935,0.906,6.5,5.0,10.0,25.5,19.0,36.0,69.0,49.9,93.1,19.0,14.0,28.55000000000001,0.031999999999999945,0.02399999999999998,0.04099999999999998,250,0.9653186109241421,0.9959107541602255
experiment_A,Exp A focal,success_min2,success: better denom + >=2 digital,complex,better,2,0,1,0.0,0.009,0.007,0.011,,,,,,,,,,,,,0.0,0.0,0.0010000000000000009,250,0.0,0.015133847249623387
experiment_A,Exp A focal,success_min3,success: better denom + >=3 digital,complex,better,3,0,1,0.0,0.009,0.007,0.01,,,,,,,,,,,,,0.0,0.0,0.0,250,0.0,0.015133847249623387
experiment_A,Exp A focal,success_all_neighbors,success: all-neighbour denom,complex,all_neighbors,0,0,1,0.0,0.013,0.009,0.019,,,,,,,,,,,,,0.002999999999999999,0.0009999999999999992,0.007000000000000001,250,0.0,0.015133847249623387
experiment_A,Exp A focal,success_all_neighbors_min2,all-neighbour denom + >=2 digital,complex,all_neighbors,2,0,1,0.0,0.009,0.007,0.01,,,,,,,,,,,,,0.0,0.0,0.0009999999999999992,250,0.0,0.015133847249623387
experiment_A,Exp A focal,success_all_neighbors_min3,all-neighbour denom + >=3 digital,complex,all_neighbors,3,0,1,0.0,0.009,0.007,0.01,,,,,,,,,,,,,0.0,0.0,0.0,250,0.0,0.015133847249623387
experiment_A,Exp A focal,success_min_better2,success: require >=2 better,complex,better,0,2,1,0.0,0.0135,0.009,0.021,,,,,,,,,,,,,0.002999999999999999,0.0009999999999999992,0.006,250,0.0,0.015133847249623387
experiment_A,Exp A focal,success_min_better3,success: require >=3 better,complex,better,0,3,1,0.0,0.012,0.009,0.01755000000000001,,,,,,,,,,,,,0.002,0.0009999999999999992,0.004,250,0.0,0.015133847249623387
