slope_min,comparison,n_runs,final_cutoff,cascade_prob_ci_low,source_experiment,transition_window,cascade_prob,cascade_prob_ci_high
0.01,A hazard,50,0.5,0.0,expA,30,0.0,0.07135003417431873
0.01,A frequency-based,50,0.5,0.0,expA,30,0.0,0.07135003417431873
0.01,A success-based,1000,0.5,0.9425806957803401,expA,30,0.957,0.9679215189116991
0.01,B small_world beta=0.001 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.01,B small_world beta=0.005 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.01,B small_world beta=0.01 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.01,B small_world beta=0.05 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.01,B small_world beta=0.1 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.01,B small_world beta=0.2 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.01,B small_world beta=0.4 m=missing,1000,0.5,0.12360059987923061,expB,30,0.144,0.16712415191427943
0.01,B small_world beta=0.7 m=missing,250,0.5,0.3106363981848008,expB,30,0.368,0.4293589374890997
0.01,B small_world beta=1.0 m=missing,50,0.5,0.2586259584257722,expB,30,0.38,0.5184980497760643
0.01,B power_law beta=missing m=2,250,0.5,0.2840956187275826,expB,30,0.34,0.40074721239229694
0.01,B degree_matched_random beta=missing m=2,50,0.5,0.5418944286372394,expB,30,0.68,0.792419559060006
0.01,B power_law beta=missing m=3,50,0.5,0.8950431352816304,expB,30,0.98,0.9964608319110235
0.01,B degree_matched_random beta=missing m=3,50,0.5,0.6258705062480763,expB,30,0.76,0.8570274759812779
0.01,B power_law beta=missing m=5,1000,0.5,0.9961731014136095,expB,30,1.0,1.0
0.01,B degree_matched_random beta=missing m=5,50,0.5,0.6920368054529739,expB,30,0.82,0.902299172675462
0.01,B power_law beta=missing m=8,50,0.5,0.9286499658256813,expB,30,1.0,1.0
0.01,B degree_matched_random beta=missing m=8,50,0.5,0.5833461285401034,expB,30,0.72,0.8252598564231963
0.01,B power_law beta=missing m=12,50,0.5,0.9286499658256813,expB,30,1.0,1.0
0.01,B degree_matched_random beta=missing m=12,250,0.5,0.6529921633129403,expB,30,0.712,0.7645910854532194
0.01,C homogeneous beta=0.4 vary=false,1000,0.5,0.021093603189697094,expC,30,0.03,0.04250368148151
0.01,C lower_mean beta=0.4 vary=false,1000,0.5,0.05310169229975138,expC,30,0.067,0.08421240187606284
0.01,C higher_variance beta=0.4 vary=false,1000,0.5,0.8637364095483508,expC,30,0.885,0.9033168785401287
0.01,C mixture pi=0.01 beta=0.4 vary=false,250,0.5,0.07529144734526685,expC,30,0.108,0.1525734888984379
0.01,C mixture pi=0.03 beta=0.4 vary=false,250,0.5,0.21322710068235817,expC,30,0.264,0.3219160752194641
0.01,C mixture pi=0.05 beta=0.4 vary=false,1000,0.5,0.5441306229679281,expC,30,0.575,0.6052953422441132
0.01,C mixture pi=0.1 beta=0.4 vary=false,50,0.5,0.7148551903823401,expC,30,0.84,0.9166267863791231
0.01,C mixture pi=0.01 beta=0.05 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.03 beta=0.05 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.05 beta=0.05 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.1 beta=0.05 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.01 beta=0.1 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.03 beta=0.1 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.05 beta=0.1 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.1 beta=0.1 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.01 beta=0.2 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.01,C mixture pi=0.03 beta=0.2 vary=true,250,0.5,0.0021965911168378323,expC,30,0.008,0.028695114576791584
0.01,C mixture pi=0.05 beta=0.2 vary=true,250,0.5,0.03063736169809375,expC,30,0.052,0.0869225654375688
0.01,C mixture pi=0.1 beta=0.2 vary=true,250,0.5,0.058830921041025906,expC,30,0.088,0.12963936909266374
0.01,C mixture pi=0.01 beta=0.4 vary=true,250,0.5,0.03364733819454402,expC,30,0.056,0.09179151816312153
0.01,C mixture pi=0.03 beta=0.4 vary=true,250,0.5,0.24657086403938408,expC,30,0.3,0.3594826748604653
0.01,C mixture pi=0.05 beta=0.4 vary=true,250,0.5,0.46219676292977036,expC,30,0.524,0.5850768124022478
0.01,C mixture pi=0.1 beta=0.4 vary=true,50,0.5,0.6258705062480763,expC,30,0.76,0.8570274759812779
0.01,C mixture pi=0.01 beta=0.7 vary=true,250,0.5,0.18396999526506153,expC,30,0.232,0.2881417468607366
0.01,C mixture pi=0.03 beta=0.7 vary=true,250,0.5,0.4542790313566007,expC,30,0.516,0.5772366855314113
0.01,C mixture pi=0.05 beta=0.7 vary=true,50,0.5,0.738135428014719,expC,30,0.86,0.9304925473797714
0.01,C mixture pi=0.1 beta=0.7 vary=true,50,0.5,0.9286499658256813,expC,30,1.0,1.0
0.01,D small_world seed=random,250,0.5,0.11278704166232252,expD,30,0.152,0.20174611602341536
0.01,D power_law seed=random,250,0.5,0.1373327388520246,expD,30,0.18,0.23235292338773436
0.01,D small_world seed=high_degree,250,0.5,0.5584442321707381,expD,30,0.62,0.6779236444893522
0.01,D power_law seed=high_degree,1000,0.5,0.9943572970398398,expD,30,0.999,0.9998234581709429
0.01,D small_world seed=bridge,1000,0.5,0.5945690386793249,expD,30,0.625,0.6544742366740776
0.01,D power_law seed=bridge,50,0.5,0.9286499658256813,expD,30,1.0,1.0
0.01,D small_world seed=clustered,250,0.5,0.008572197944651562,expD,30,0.02,0.045956295414986886
0.01,D power_law seed=clustered,250,0.5,0.4149231875977522,expD,30,0.476,0.5378032370702297
0.01,E seed=random pioneer=random,1000,0.5,0.1602624460409235,expE,30,0.183,0.20816380766284814
0.01,E seed=random pioneer=hub_bridge,1000,0.5,0.9927370411104123,expE,30,0.998,0.9994513678975429
0.01,E seed=hub_bridge pioneer=random,1000,0.5,0.6995857085708711,expE,30,0.728,0.7546692256737347
0.01,E seed=hub_bridge pioneer=hub_bridge,1000,0.5,0.9961731014136095,expE,30,1.0,1.0
0.01,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=0.25,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=0.75,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=1.0,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=0.25,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=0.75,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=1.0,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=0.25,250,0.5,0.18396999526506153,robustness,30,0.232,0.2881417468607366
0.01,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=0.75,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=1.0,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.25,250,0.5,0.4110089576615158,robustness,30,0.472,0.5338385377844631
0.01,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.75,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=1.0,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.25,250,0.5,0.40709862287317655,robustness,30,0.468,0.5298699433507994
0.01,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.75,250,0.5,0.4149231875977522,robustness,30,0.476,0.5378032370702297
0.01,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=1.0,250,0.5,0.08536266215857913,robustness,30,0.12,0.16613906175113463
