setting,setting_label,variant,variant_label,replacement_digital_rule,rule,threshold_treatment,theta_mean,pi,seed_strategy,pioneer_strategy,pioneer_count,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
experiment_A,Exp A focal,frequency_based,frequency-based,bernoulli_seed_probability,simple,mixture,0.7,0.1,random,random,100,0.0,0.014,0.009,0.02,,,,,,,,,,,,,0.004,0.0009999999999999992,0.007000000000000001,250,0.0,0.015133847249623387
experiment_A,Exp A focal,frequency_based,frequency-based,traditional_only,simple,mixture,0.7,0.1,random,random,100,0.0,0.013,0.01,0.019550000000000012,,,,,,,,,,,,,0.004,0.0010000000000000009,0.007000000000000001,250,0.0,0.015133847249623387
experiment_A,Exp A focal,hazard,hazard,bernoulli_seed_probability,hazard,mixture,0.7,0.1,random,random,100,0.0,0.5,0.475,0.527,10.0,9.0,12.0,95.5,86.65,100.0,,,,85.0,75.65,90.0,0.015,0.01200000000000001,0.018000000000000002,250,0.0,0.015133847249623387
experiment_A,Exp A focal,hazard,hazard,traditional_only,hazard,mixture,0.7,0.1,random,random,100,0.0,0.498,0.471,0.526,10.0,9.0,12.0,94.0,86.1,100.0,,,,84.0,76.10000000000001,90.0,0.015,0.012999999999999984,0.018000000000000002,250,0.0,0.015133847249623387
experiment_A,Exp A focal,success_original,success-based,bernoulli_seed_probability,complex,mixture,0.7,0.1,random,random,100,0.992,0.901,0.83145,0.906,6.0,5.0,10.0,25.0,19.0,38.0,66.5,48.0,95.44999999999999,19.0,14.0,29.0,0.03200000000000003,0.023000000000000013,0.041550000000000004,250,0.9713048854232084,0.9978034088831621
experiment_A,Exp A focal,success_original,success-based,traditional_only,complex,mixture,0.7,0.1,random,random,100,1.0,0.901,0.8434499999999999,0.907,6.0,5.0,9.0,25.0,19.0,37.0,66.0,46.0,97.0,19.0,14.0,28.0,0.032,0.02500000000000001,0.04155000000000002,250,0.9848661527503766,1.0
seed_pioneer_placement,Seed x pioneer placement,seed_hub_bridge_pioneer_hub_bridge,seed hub/bridge; pioneer hub/bridge,bernoulli_seed_probability,complex,mixture,0.7,0.05,hub_bridge,hub_bridge,50,1.0,0.903,0.9,0.91,5.0,4.0,6.0,19.0,16.0,24.55000000000001,41.0,34.0,57.55000000000001,14.0,11.0,19.0,0.03849999999999998,0.03045,0.04799999999999999,250,0.9848661527503766,1.0
seed_pioneer_placement,Seed x pioneer placement,seed_hub_bridge_pioneer_hub_bridge,seed hub/bridge; pioneer hub/bridge,traditional_only,complex,mixture,0.7,0.05,hub_bridge,hub_bridge,50,1.0,0.903,0.9,0.91055,5.0,4.0,6.0,19.0,16.0,24.55000000000001,42.0,33.0,55.0,14.0,11.0,19.0,0.03899999999999998,0.03,0.04799999999999999,250,0.9848661527503766,1.0
seed_pioneer_placement,Seed x pioneer placement,seed_hub_bridge_pioneer_random,seed hub/bridge; pioneer random,bernoulli_seed_probability,complex,mixture,0.7,0.05,hub_bridge,random,50,0.944,0.902,0.8819,0.909,8.0,6.0,12.0,34.0,25.0,50.55000000000001,67.0,48.0,90.0,26.0,18.0,38.0,0.026000000000000023,0.02000000000000001,0.034,250,0.9082084818368784,0.966352661805456
seed_pioneer_placement,Seed x pioneer placement,seed_hub_bridge_pioneer_random,seed hub/bridge; pioneer random,traditional_only,complex,mixture,0.7,0.05,hub_bridge,random,50,0.936,0.902,0.86,0.90855,8.0,6.0,12.0,34.0,24.45,49.0,68.0,47.3,92.0,26.0,18.0,39.55000000000001,0.026000000000000023,0.019000000000000017,0.03400000000000003,250,0.8985776859091057,0.9602255992892228
seed_pioneer_placement,Seed x pioneer placement,seed_random_pioneer_hub_bridge,seed random; pioneer hub/bridge,bernoulli_seed_probability,complex,mixture,0.7,0.05,random,hub_bridge,50,1.0,0.902,0.9,0.909,8.0,5.0,12.0,23.0,18.0,32.0,50.0,37.0,77.0,16.0,11.0,22.0,0.03599999999999999,0.02745,0.04755000000000001,250,0.9848661527503766,1.0
seed_pioneer_placement,Seed x pioneer placement,seed_random_pioneer_hub_bridge,seed random; pioneer hub/bridge,traditional_only,complex,mixture,0.7,0.05,random,hub_bridge,50,1.0,0.903,0.9,0.91,7.0,6.0,12.0,23.0,18.0,33.0,49.0,36.0,71.0,15.0,11.0,22.0,0.037000000000000005,0.027000000000000024,0.04699999999999996,250,0.9848661527503766,1.0
seed_pioneer_placement,Seed x pioneer placement,seed_random_pioneer_random,seed random; pioneer random,bernoulli_seed_probability,complex,mixture,0.7,0.05,random,random,50,0.524,0.897,0.52515,0.9055500000000001,13.5,9.0,23.0,52.0,34.0,82.0,85.0,63.0,99.05,39.0,25.0,62.0,0.02100000000000002,0.013000000000000012,0.028000000000000025,250,0.46219676292977036,0.5850768124022478
seed_pioneer_placement,Seed x pioneer placement,seed_random_pioneer_random,seed random; pioneer random,traditional_only,complex,mixture,0.7,0.05,random,random,50,0.444,0.865,0.473,0.906,14.0,9.0,25.0,55.0,36.0,82.44999999999999,85.0,60.65,98.35,41.0,24.55,64.0,0.020000000000000018,0.01245000000000001,0.029000000000000026,250,0.383718776205658,0.5059762146862998
transition_beta04,Transition beta=0.4,homogeneous,homogeneous,bernoulli_seed_probability,complex,homogeneous,0.7,,random,none,0,0.024,0.46,0.24389999999999998,0.8022,19.0,12.0,37.0,81.0,55.45,99.0,90.0,90.0,90.0,63.0,42.900000000000006,79.0,0.01200000000000001,0.007999999999999993,0.020000000000000018,250,0.011044626630631514,0.051362795951009954
transition_beta04,Transition beta=0.4,homogeneous,homogeneous,traditional_only,complex,homogeneous,0.7,,random,none,0,0.02,0.4315,0.181,0.8045000000000002,21.0,12.0,45.599999999999994,77.0,55.8,98.0,84.0,84.0,84.0,61.0,39.8,79.19999999999999,0.011999999999999997,0.006999999999999999,0.019000000000000017,250,0.008572197944651562,0.045956295414986886
transition_beta04,Transition beta=0.4,mixture_pi05,mixture pi=5%,bernoulli_seed_probability,complex,mixture,0.7,0.05,random,random,50,0.576,0.894,0.50745,0.907,13.0,9.0,23.55000000000001,52.0,34.0,83.19999999999999,81.0,63.0,97.99999999999999,38.0,24.0,63.099999999999994,0.02100000000000002,0.013999999999999901,0.028550000000000006,250,0.5140438113999315,0.6356558438181257
transition_beta04,Transition beta=0.4,mixture_pi05,mixture pi=5%,traditional_only,complex,mixture,0.7,0.05,random,random,50,0.556,0.8755,0.4835,0.906,14.0,9.0,26.0,53.0,35.0,87.30000000000001,81.0,65.15,98.85,39.0,25.0,67.0,0.02099999999999999,0.01200000000000001,0.028000000000000025,250,0.49402378531370017,0.616281223794342
