map_type,map_label,map_panel,variant,variant_label,beta,theta_mean,theta_sweep,seed_fraction_sweep,pi,premium_ratio,digital_growth_sd,success_denominator,min_successful_digital,replacement_digital_rule,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
beta_pi,beta x pi,success_original,success_original,success original,0.05,0.7,,,0.0,,1.0,better,0,bernoulli_seed_probability,0.0,0.1445,0.0868,0.21509999999999999,40.0,19.35,76.64999999999999,,,,,,,,,,0.007000000000000001,0.005000000000000001,0.011000000000000001,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.05,0.7,,,0.01,,1.0,better,0,bernoulli_seed_probability,0.0,0.16,0.102,0.242,33.0,17.9,84.1,,,,,,,,,,0.008,0.005999999999999998,0.011000000000000001,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.05,0.7,,,0.05,,1.0,better,0,bernoulli_seed_probability,0.0,0.1875,0.09385,0.29305,29.0,15.0,56.0,,,,,,,,,,0.008999999999999996,0.006,0.012,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.05,0.7,,,0.1,,1.0,better,0,bernoulli_seed_probability,0.0,0.2145,0.13255,0.32935,22.0,12.0,46.499999999999915,,,,,,,,,,0.009000000000000001,0.00695,0.012999999999999998,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.1,0.7,,,0.0,,1.0,better,0,bernoulli_seed_probability,0.0,0.1985,0.111,0.31815,30.0,18.900000000000002,65.0,,,,,,,,,,0.008,0.006,0.011050000000000006,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.1,0.7,,,0.01,,1.0,better,0,bernoulli_seed_probability,0.0,0.215,0.12485,0.30944999999999995,30.0,15.0,58.19999999999999,,,,,,,,,,0.008000000000000004,0.005949999999999999,0.011000000000000001,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.1,0.7,,,0.05,,1.0,better,0,bernoulli_seed_probability,0.0,0.303,0.17684999999999998,0.48725,20.0,11.95,35.05,86.0,69.39999999999999,89.85000000000001,,,,72.0,59.099999999999994,73.85000000000001,0.009999999999999981,0.006999999999999999,0.014000000000000012,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.1,0.7,,,0.1,,1.0,better,0,bernoulli_seed_probability,0.0,0.3075,0.1913,0.49215,19.0,10.0,32.0,89.5,80.35,96.95,,,,78.0,69.05,87.8,0.010000000000000009,0.006999999999999999,0.014050000000000009,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.2,0.7,,,0.0,,1.0,better,0,bernoulli_seed_probability,0.0,0.294,0.16175,0.48684999999999995,24.0,15.0,45.14999999999999,92.0,79.4,99.4,,,,76.0,66.39999999999999,81.0,0.009000000000000008,0.006,0.01305000000000001,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.2,0.7,,,0.01,,1.0,better,0,bernoulli_seed_probability,0.0,0.343,0.16570000000000001,0.5173999999999999,20.0,13.0,43.0,82.0,77.6,95.7,,,,69.0,66.0,79.0,0.009999999999999995,0.0060000000000000045,0.014050000000000009,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.2,0.7,,,0.05,,1.0,better,0,bernoulli_seed_probability,0.02,0.527,0.3118,0.7251,16.0,10.950000000000001,30.0,73.5,55.3,91.44999999999999,,,,61.5,43.3,76.79999999999998,0.013000000000000012,0.009000000000000008,0.019999999999999966,100,0.005501852234968178,0.07001316294199367
beta_pi,beta x pi,success_original,success_original,success original,0.2,0.7,,,0.1,,1.0,better,0,bernoulli_seed_probability,0.07,0.538,0.33945000000000003,0.6933999999999999,13.0,9.0,23.099999999999994,71.5,47.0,94.95,,,,60.0,37.05,81.0,0.015000000000000013,0.010999999999999982,0.020999999999999967,100,0.034318824364064096,0.13749671006529757
beta_pi,beta x pi,success_original,success_original,success original,0.4,0.7,,,0.0,,1.0,better,0,bernoulli_seed_probability,0.0,0.46,0.17845,0.8161999999999998,21.0,12.0,42.19999999999999,79.0,53.900000000000006,95.19999999999999,92.5,89.35,95.64999999999999,62.0,41.699999999999996,76.1,0.011499999999999982,0.007000000000000006,0.019000000000000017,100,0.0,0.03699480747600191
beta_pi,beta x pi,success_original,success_original,success original,0.4,0.7,,,0.01,,1.0,better,0,bernoulli_seed_probability,0.04,0.483,0.2497,0.8267499999999999,19.0,11.0,35.29999999999998,77.0,43.6,97.0,91.5,87.44999999999999,95.55,60.0,32.3,79.69999999999999,0.013000000000000008,0.008000000000000007,0.02100000000000002,100,0.015663050551848016,0.09837217232607373
beta_pi,beta x pi,success_original,success_original,success original,0.4,0.7,,,0.05,,1.0,better,0,bernoulli_seed_probability,0.49,0.877,0.5736499999999999,0.907,13.0,9.0,23.0,55.0,34.0,82.39999999999998,83.5,59.9,98.85,41.0,24.0,61.39999999999998,0.020999999999999908,0.01400000000000001,0.029000000000000026,100,0.39421830092386145,0.5865215952256586
