realised_N,variant_label,theta_low_mean,seed_count,powerlaw_alpha,cascade_threshold50,valuation_cv,section,min_better_total,stopped_reason,transition_time,pioneer_strategy,final_adoption,t10,seed_fraction,k,stop_time,degree_variance,threshold_treatment,clustering,seed_strategy,max_slope,beta,max_slope_period,total_adoptions,adoption_exposure_events,cascade,treatment_label,giant_component_fraction,count_k,run_seed,target_mean_degree,rule,min_successful_digital,pi,variant,theta_mean,section_label,run_index,sigma_high,t50,network_generator,experiment,N,total_bankruptcies,pioneer_fraction,replacement_digital_rule,cascade_dynamic70,success_denominator,realised_edges,network_seed,family,theta_low,t90,realised_mean_degree,avg_path_length,pioneer_count
1000,homogeneous,,1,,true,17.193525136397056,calibration,0,A90,5,none,0.998,17,0.001,20,23,9.103103103103104,homogeneous,0.03636139339080017,random,0.303,0.7,22,1014,1014,true,homogeneous,1.0,1,1903653153,20,complex,0,,homogeneous,0.6,calibration,1,,22,watts_strogatz_rewire,experiment_K_calibration,1000,17,0.0,traditional_only,true,better,10000,7120,small_world,,23,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,12.813541784082394,calibration,0,A90,4,none,0.982,12,0.001,20,17,9.103103103103104,homogeneous,0.03636139339080017,random,0.28800000000000003,0.7,17,992,992,true,homogeneous,1.0,1,1010549946,20,complex,0,,homogeneous,0.6,calibration,2,,16,watts_strogatz_rewire,experiment_K_calibration,1000,11,0.0,traditional_only,true,better,10000,7120,small_world,,17,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,25.073516613468463,calibration,0,A90,4,none,0.997,19,0.001,20,25,9.103103103103104,homogeneous,0.03636139339080017,random,0.30899999999999994,0.7,24,1011,1011,true,homogeneous,1.0,1,432427874,20,complex,0,,homogeneous,0.6,calibration,3,,23,watts_strogatz_rewire,experiment_K_calibration,1000,15,0.0,traditional_only,true,better,10000,7120,small_world,,25,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,29.999299957538053,calibration,0,A90,5,none,0.996,25,0.001,20,31,9.103103103103104,homogeneous,0.03636139339080017,random,0.29800000000000004,0.7,30,1009,1009,true,homogeneous,1.0,1,1555621,20,complex,0,,homogeneous,0.6,calibration,4,,30,watts_strogatz_rewire,experiment_K_calibration,1000,14,0.0,traditional_only,true,better,10000,7120,small_world,,31,20.0,2.661181181181181,0
1000,homogeneous,,1,,false,0.4071359453326561,calibration,0,stall,,none,0.0,,0.001,20,20,9.103103103103104,homogeneous,0.03636139339080017,random,0.0,0.7,1,0,0,false,homogeneous,1.0,1,1510474692,20,complex,0,,homogeneous,0.6,calibration,5,,,watts_strogatz_rewire,experiment_K_calibration,1000,1,0.0,traditional_only,false,better,10000,7120,small_world,,,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,26.218453723595157,calibration,0,A90,3,none,0.999,18,0.001,20,23,9.103103103103104,homogeneous,0.03636139339080017,random,0.31599999999999995,0.7,22,1011,1011,true,homogeneous,1.0,1,1154611371,20,complex,0,,homogeneous,0.6,calibration,6,,21,watts_strogatz_rewire,experiment_K_calibration,1000,13,0.0,traditional_only,true,better,10000,7120,small_world,,23,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,23.725628324741532,calibration,0,A90,4,none,0.994,28,0.001,20,33,9.103103103103104,homogeneous,0.03636139339080017,random,0.29,0.7,32,1011,1011,true,homogeneous,1.0,1,1286099885,20,complex,0,,homogeneous,0.6,calibration,7,,32,watts_strogatz_rewire,experiment_K_calibration,1000,18,0.0,traditional_only,true,better,10000,7120,small_world,,33,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,21.053661545815537,calibration,0,A90,4,none,0.999,16,0.001,20,22,9.103103103103104,homogeneous,0.03636139339080017,random,0.31199999999999994,0.7,21,1011,1011,true,homogeneous,1.0,1,1308402266,20,complex,0,,homogeneous,0.6,calibration,8,,20,watts_strogatz_rewire,experiment_K_calibration,1000,13,0.0,traditional_only,true,better,10000,7120,small_world,,22,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,16.113628171987187,calibration,0,A90,4,none,1.0,14,0.001,20,20,9.103103103103104,homogeneous,0.03636139339080017,random,0.32499999999999996,0.7,19,1023,1023,true,homogeneous,1.0,1,1669717257,20,complex,0,,homogeneous,0.6,calibration,9,,18,watts_strogatz_rewire,experiment_K_calibration,1000,24,0.0,traditional_only,true,better,10000,7120,small_world,,20,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,20.641991982097647,calibration,0,A90,5,none,0.994,19,0.001,20,25,9.103103103103104,homogeneous,0.03636139339080017,random,0.29400000000000004,0.7,24,1010,1010,true,homogeneous,1.0,1,505808875,20,complex,0,,homogeneous,0.6,calibration,10,,24,watts_strogatz_rewire,experiment_K_calibration,1000,17,0.0,traditional_only,true,better,10000,7120,small_world,,25,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,27.872579799224308,calibration,0,A90,4,none,0.94,40,0.001,20,45,9.103103103103104,homogeneous,0.03636139339080017,random,0.32399999999999995,0.7,45,953,953,true,homogeneous,1.0,1,721875575,20,complex,0,,homogeneous,0.6,calibration,11,,44,watts_strogatz_rewire,experiment_K_calibration,1000,14,0.0,traditional_only,true,better,10000,7120,small_world,,45,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,28.00748394321219,calibration,0,A90,5,none,0.959,19,0.001,20,25,9.103103103103104,homogeneous,0.03636139339080017,random,0.30499999999999994,0.7,25,973,973,true,homogeneous,1.0,1,1673921155,20,complex,0,,homogeneous,0.6,calibration,12,,24,watts_strogatz_rewire,experiment_K_calibration,1000,15,0.0,traditional_only,true,better,10000,7120,small_world,,25,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,11.616733788341124,calibration,0,A90,3,none,1.0,11,0.001,20,16,9.103103103103104,homogeneous,0.03636139339080017,random,0.31499999999999995,0.7,15,1022,1022,true,homogeneous,1.0,1,1048216233,20,complex,0,,homogeneous,0.6,calibration,13,,14,watts_strogatz_rewire,experiment_K_calibration,1000,23,0.0,traditional_only,true,better,10000,7120,small_world,,16,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,14.574644737413283,calibration,0,A90,4,none,0.946,11,0.001,20,16,9.103103103103104,homogeneous,0.03636139339080017,random,0.32399999999999995,0.7,16,957,957,true,homogeneous,1.0,1,1792991142,20,complex,0,,homogeneous,0.6,calibration,14,,15,watts_strogatz_rewire,experiment_K_calibration,1000,12,0.0,traditional_only,true,better,10000,7120,small_world,,16,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,24.026216227445225,calibration,0,A90,4,none,0.914,20,0.001,20,25,9.103103103103104,homogeneous,0.03636139339080017,random,0.32800000000000007,0.7,25,924,924,true,homogeneous,1.0,1,707399756,20,complex,0,,homogeneous,0.6,calibration,15,,24,watts_strogatz_rewire,experiment_K_calibration,1000,11,0.0,traditional_only,true,better,10000,7120,small_world,,25,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,23.91648954064563,calibration,0,A90,5,none,0.998,21,0.001,20,27,9.103103103103104,homogeneous,0.03636139339080017,random,0.30300000000000005,0.7,26,1008,1008,true,homogeneous,1.0,1,1580481526,20,complex,0,,homogeneous,0.6,calibration,16,,26,watts_strogatz_rewire,experiment_K_calibration,1000,11,0.0,traditional_only,true,better,10000,7120,small_world,,27,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,31.104745086896763,calibration,0,A90,4,none,0.955,23,0.001,20,28,9.103103103103104,homogeneous,0.03636139339080017,random,0.32299999999999995,0.7,28,964,964,true,homogeneous,1.0,1,1570438833,20,complex,0,,homogeneous,0.6,calibration,17,,27,watts_strogatz_rewire,experiment_K_calibration,1000,10,0.0,traditional_only,true,better,10000,7120,small_world,,28,20.0,2.661181181181181,0
1000,homogeneous,,1,,true,24.881301010424128,calibration,0,A90,4,none,0.999,17,0.001,20,23,9.103103103103104,homogeneous,0.03636139339080017,random,0.32499999999999996,0.7,22,1011,1011,true,homogeneous,1.0,1,843932060,20,complex,0,,homogeneous,0.6,calibration,18,,21,watts_strogatz_rewire,experiment_K_calibration,1000,13,0.0,traditional_only,true,better,10000,7120,small_world,,23,20.0,2.661181181181181,0
