section,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
calibration,20,0.7,homogeneous,homogeneous,0.6,0.001,homogeneous,0.95,0.995,0.8683,1.0,18.0,11.0,29.200000000000017,22.0,14.899999999999999,33.20000000000002,23.0,16.0,34.20000000000002,4.0,3.0,5.0,0.31049999999999994,0.27359999999999995,0.32515,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,homogeneous,homogeneous,0.6,0.003,homogeneous,1.0,0.996,0.9443,1.0,9.5,8.0,13.150000000000002,13.0,12.0,18.150000000000002,15.0,13.0,19.150000000000002,4.0,3.0,5.0,0.3075,0.28065,0.33114999999999994,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.6,0.006,homogeneous,1.0,0.9904999999999999,0.9228500000000001,1.0,7.0,5.949999999999999,9.250000000000004,10.5,9.0,12.300000000000004,12.0,10.95,14.300000000000004,4.0,3.0,4.0,0.31049999999999994,0.28190000000000004,0.33310000000000006,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.6,0.01,homogeneous,1.0,0.9924999999999999,0.9185,1.0,5.0,4.95,6.050000000000001,9.0,8.0,10.0,10.0,9.0,11.05,3.5,3.0,4.0,0.32099999999999995,0.279,0.33310000000000006,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.65,0.001,homogeneous,1.0,0.996,0.9195500000000001,1.0,16.0,10.95,32.05,20.5,14.950000000000001,37.050000000000004,22.0,16.95,39.0,5.0,4.0,6.0,0.2795,0.25070000000000003,0.29410000000000003,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.65,0.003,homogeneous,1.0,0.9824999999999999,0.9116,1.0,9.5,6.949999999999999,11.0,13.5,11.0,15.05,15.0,12.0,17.0,4.0,4.0,5.0,0.27699999999999997,0.2547,0.28800000000000003,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.65,0.006,homogeneous,1.0,0.9884999999999999,0.92015,1.0,7.0,5.949999999999999,8.0,11.0,10.0,13.0,13.0,11.95,14.0,4.0,3.95,5.0,0.27549999999999997,0.24680000000000002,0.2940499999999999,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.65,0.01,homogeneous,1.0,0.9904999999999999,0.92395,1.0,5.0,4.0,6.050000000000001,9.0,8.0,10.05,11.0,10.0,12.0,4.0,3.95,5.0,0.27749999999999997,0.25495,0.2896000000000001,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.7,0.001,homogeneous,1.0,0.9784999999999999,0.90295,0.999,19.0,12.85,40.05,26.5,18.85,49.050000000000004,28.0,20.85,51.0,7.0,6.0,8.100000000000001,0.24,0.22574999999999998,0.2502,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.7,0.003,homogeneous,1.0,0.9675,0.9173,0.99905,12.5,9.0,19.250000000000004,18.0,14.950000000000001,26.350000000000005,20.0,16.95,27.400000000000006,6.0,5.0,7.100000000000001,0.241,0.22494999999999998,0.25830000000000003,20,0.8388698745050668,0.9999999999999999
