section,section_label,k,beta,rule,variant,variant_label,success_denominator,min_successful_digital,count_k,threshold_treatment,treatment_label,theta_mean,pi,seed_strategy,pioneer_strategy,replacement_digital_rule,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
K_A_mechanism,K-A mechanism,20,0.7,complex,success_original,performance-conditioned,better,0,1,mixture,mixture pi=5%,0.95,0.05,random,random,traditional_only,0.975,0.91,0.6103500000000001,0.923,8.0,6.9,14.0,27.0,20.0,38.39999999999998,45.0,33.0,72.0,18.0,12.0,27.099999999999994,0.03650000000000002,0.027949999999999996,0.04505000000000003,80,0.9133539994467789,0.9931172511018748
K_A_mechanism,K-A mechanism,20,0.7,hazard,hazard,hazard,better,0,1,mixture,mixture pi=5%,0.95,0.05,random,random,traditional_only,0.0,0.496,0.47285,0.519,11.0,9.0,13.0,96.0,90.6,100.0,,,,85.0,79.6,90.0,0.015,0.012999999999999998,0.018999999999999996,80,0.0,0.0458197362645751
K_A_mechanism,K-A mechanism,20,0.7,simple,frequency_based,frequency-based,better,0,1,mixture,mixture pi=5%,0.95,0.05,random,random,traditional_only,0.0,0.001,0.0009500000000000002,0.004,,,,,,,,,,,,,0.0,0.0,0.002,80,0.0,0.0458197362645751
K_A_mechanism,K-A mechanism,50,0.7,complex,success_original,performance-conditioned,better,0,1,mixture,mixture pi=5%,0.95,0.05,random,random,traditional_only,0.95,0.903,0.8953000000000001,0.90805,8.0,6.0,14.0,35.0,31.0,47.0,73.0,66.0,82.5,27.0,23.8,32.19999999999999,0.027,0.020999999999999998,0.032049999999999995,80,0.878375474489178,0.9803867628727044
K_A_mechanism,K-A mechanism,50,0.7,hazard,hazard,hazard,better,0,1,mixture,mixture pi=5%,0.95,0.05,random,random,traditional_only,0.0,0.4955,0.465,0.52405,11.0,9.0,13.049999999999997,95.0,87.7,99.3,,,,85.0,76.4,88.3,0.015,0.012999999999999998,0.019000000000000003,80,0.0,0.0458197362645751
K_A_mechanism,K-A mechanism,50,0.7,simple,frequency_based,frequency-based,better,0,1,mixture,mixture pi=5%,0.95,0.05,random,random,traditional_only,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,80,0.0,0.0458197362645751
K_A_mechanism,K-A mechanism,100,0.7,complex,success_original,performance-conditioned,better,0,1,mixture,mixture pi=5%,0.9525,0.05,random,random,traditional_only,0.0,0.662,0.6279,0.7021999999999999,10.0,7.95,14.0,67.0,60.0,75.1,,,,57.0,51.949999999999996,65.0,0.021,0.017849999999999994,0.027999999999999997,40,0.0,0.08762453925039232
K_A_mechanism,K-A mechanism,100,0.7,hazard,hazard,hazard,better,0,1,mixture,mixture pi=5%,0.9525,0.05,random,random,traditional_only,0.0,0.5005,0.48185,0.52255,11.0,9.95,13.049999999999997,97.5,91.05,100.0,,,,86.5,79.05,89.0,0.015000000000000006,0.01200000000000001,0.017999999999999988,40,0.0,0.08762453925039232
K_A_mechanism,K-A mechanism,100,0.7,simple,frequency_based,frequency-based,better,0,1,mixture,mixture pi=5%,0.9525,0.05,random,random,traditional_only,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,40,0.0,0.08762453925039232
K_B_topology,K-B beta sweep,20,0.05,complex,beta_0p05,beta 0.05,better,0,1,mixture,mixture pi=5%,0.95,0.05,random,random,traditional_only,0.3,0.5945,0.33010000000000006,0.8199499999999998,22.0,14.0,44.74999999999996,60.0,36.8,85.79999999999998,81.0,72.9,90.0,39.0,24.4,63.59999999999999,0.018000000000000016,0.010949999999999996,0.025999999999999995,80,0.21064429162615705,0.407683602879673
K_B_topology,K-B beta sweep,20,0.1,complex,beta_0p1,beta 0.10,better,0,1,mixture,mixture pi=5%,0.95,0.05,random,random,traditional_only,0.75,0.7424999999999999,0.54495,0.9131,16.0,10.9,33.0,44.0,30.0,72.39999999999998,75.0,58.1,92.0,28.0,18.0,47.0,0.02300000000000002,0.01594999999999996,0.032,80,0.6451511899886556,0.8319389418790569
