section,section_label,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.7,0.001,homogeneous,0.8333333333333334,0.951,0.00265,0.9827999999999999,44.5,25.95,64.9,62.0,40.4,90.7,62.0,42.2,82.8,19.5,14.0,27.55,0.16200000000000003,0.001,0.17860000000000004,12,0.5519636426153274,0.9530358523851776
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.7,0.002,homogeneous,1.0,0.978,0.9095,0.9904499999999999,18.5,10.55,38.39999999999998,31.0,18.65,55.99999999999997,34.0,21.1,58.99999999999997,12.5,8.1,17.599999999999994,0.1795,0.16719999999999996,0.19045,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.7,0.003,homogeneous,1.0,0.958,0.9248500000000001,0.9898,15.5,10.55,23.45,26.5,20.55,41.9,29.0,23.1,44.45,10.5,9.0,18.349999999999998,0.17300000000000004,0.16014999999999996,0.1936,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.7,0.005,homogeneous,1.0,0.957,0.9154,0.98915,11.0,9.0,16.349999999999998,21.0,17.55,26.349999999999998,23.0,20.0,28.349999999999998,9.0,8.55,10.899999999999999,0.18150000000000005,0.16625000000000004,0.20639999999999997,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.7,0.01,homogeneous,1.0,0.981,0.9349000000000001,0.9967999999999999,8.0,5.550000000000001,9.899999999999999,17.0,13.0,19.45,19.0,15.55,22.45,8.5,7.0,10.0,0.18850000000000006,0.17025000000000004,0.20465,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.75,0.001,homogeneous,0.9166666666666666,0.933,0.5987500000000001,0.98345,27.5,18.55,62.49999999999997,42.0,33.5,76.5,46.0,37.0,80.0,19.0,14.0,30.0,0.138,0.07755000000000002,0.15544999999999998,12,0.6461140782014047,0.9851352905492264
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.75,0.002,homogeneous,1.0,0.9484999999999999,0.9123500000000001,0.9836999999999999,17.0,15.1,25.0,33.0,28.549999999999997,43.349999999999994,36.5,31.55,46.8,15.5,13.55,19.45,0.14049999999999996,0.1321,0.14945000000000003,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.75,0.003,homogeneous,1.0,0.9464999999999999,0.9159,0.9813,16.0,11.55,22.9,31.5,23.200000000000003,38.9,35.0,26.75,42.349999999999994,15.0,10.0,17.45,0.1395,0.12390000000000005,0.15859999999999996,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.75,0.005,homogeneous,1.0,0.9515,0.9156500000000001,0.9745999999999999,11.0,8.1,17.45,23.0,19.1,34.0,26.0,21.55,37.0,12.5,11.0,16.45,0.14799999999999996,0.13304999999999995,0.1591499999999999,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.75,0.01,homogeneous,1.0,0.9515,0.9077500000000001,0.9796499999999999,7.5,6.0,10.349999999999998,17.5,15.55,22.799999999999997,21.0,18.55,25.799999999999997,10.0,8.55,12.45,0.15500000000000003,0.1351,0.16204999999999997,12,0.7574992425007574,1.0
