k,variant,variant_label,min_successful_digital,seed_fraction,seed_strategy,cascade_prob,cascade_prob_ci_low,cascade_prob_ci_high,final_adoption_median,final_adoption_p05,final_adoption_p95,t50_median,t50_p05,t50_p95,n_runs
20,success_min2,fractional success + >=2,2,0.001,clustered,0.0,0.0,0.06017393047793289,0.001,0.0,0.001,,,,60
20,success_min2,fractional success + >=2,2,0.001,hub_bridge,0.0,0.0,0.06017393047793289,0.001,0.0,0.001,,,,60
20,success_min2,fractional success + >=2,2,0.001,random,0.0,0.0,0.06017393047793289,0.001,0.0,0.001,,,,60
20,success_min2,fractional success + >=2,2,0.005,clustered,0.0,0.0,0.06017393047793289,0.005,0.003,0.011,,,,60
20,success_min2,fractional success + >=2,2,0.005,hub_bridge,0.0,0.0,0.06017393047793289,0.008,0.005,0.04369999999999956,,,,60
20,success_min2,fractional success + >=2,2,0.005,random,0.0,0.0,0.06017393047793289,0.005,0.003,0.012149999999999992,,,,60
20,success_min2,fractional success + >=2,2,0.01,clustered,0.0,0.0,0.06017393047793289,0.017,0.009,0.18749999999999997,,,,60
20,success_min2,fractional success + >=2,2,0.01,hub_bridge,0.0,0.0,0.06017393047793289,0.2865,0.02385,0.4806999999999999,79.0,70.0,97.0,60
20,success_min2,fractional success + >=2,2,0.01,random,0.0,0.0,0.06017393047793289,0.018,0.009,0.25715,,,,60
20,success_min2,fractional success + >=2,2,0.02,clustered,0.05,0.01714919117914121,0.13700734625099836,0.489,0.27315000000000006,0.6572499999999993,77.0,49.75,97.65,60
20,success_min2,fractional success + >=2,2,0.02,hub_bridge,0.5333333333333333,0.40893208671135106,0.65372298459012,0.618,0.50585,0.91705,46.5,30.0,75.29999999999998,60
20,success_min2,fractional success + >=2,2,0.02,random,0.2,0.11828389736858964,0.3178204609181701,0.5215000000000001,0.37615000000000004,0.90825,63.0,41.9,87.39999999999998,60
20,success_min2,fractional success + >=2,2,0.05,clustered,1.0,0.9398260695220669,0.9999999999999999,0.905,0.58995,0.923,23.0,18.0,34.05,60
20,success_min2,fractional success + >=2,2,0.05,hub_bridge,1.0,0.9398260695220669,0.9999999999999999,0.904,0.6363,0.922,17.0,13.0,22.0,60
20,success_min2,fractional success + >=2,2,0.05,random,1.0,0.9398260695220669,0.9999999999999999,0.9065000000000001,0.6133000000000001,0.92005,21.0,17.0,32.14999999999999,60
20,success_min3,fractional success + >=3,3,0.001,clustered,0.0,0.0,0.06017393047793289,0.001,0.0,0.001,,,,60
20,success_min3,fractional success + >=3,3,0.001,hub_bridge,0.0,0.0,0.06017393047793289,0.001,0.0,0.001,,,,60
20,success_min3,fractional success + >=3,3,0.001,random,0.0,0.0,0.06017393047793289,0.001,0.0,0.001,,,,60
20,success_min3,fractional success + >=3,3,0.005,clustered,0.0,0.0,0.06017393047793289,0.005,0.003,0.005,,,,60
20,success_min3,fractional success + >=3,3,0.005,hub_bridge,0.0,0.0,0.06017393047793289,0.005,0.003,0.005,,,,60
20,success_min3,fractional success + >=3,3,0.005,random,0.0,0.0,0.06017393047793289,0.005,0.00395,0.005,,,,60
20,success_min3,fractional success + >=3,3,0.01,clustered,0.0,0.0,0.06017393047793289,0.009,0.007,0.011,,,,60
20,success_min3,fractional success + >=3,3,0.01,hub_bridge,0.0,0.0,0.06017393047793289,0.009,0.00795,0.011,,,,60
20,success_min3,fractional success + >=3,3,0.01,random,0.0,0.0,0.06017393047793289,0.009,0.007,0.01,,,,60
20,success_min3,fractional success + >=3,3,0.02,clustered,0.0,0.0,0.06017393047793289,0.019,0.016,0.022049999999999997,,,,60
20,success_min3,fractional success + >=3,3,0.02,hub_bridge,0.0,0.0,0.06017393047793289,0.0205,0.016950000000000003,0.02405,,,,60
20,success_min3,fractional success + >=3,3,0.02,random,0.0,0.0,0.06017393047793289,0.019,0.017,0.022049999999999997,,,,60
20,success_min3,fractional success + >=3,3,0.05,clustered,0.0,0.0,0.06017393047793289,0.102,0.06085,0.26999999999999996,,,,60
20,success_min3,fractional success + >=3,3,0.05,hub_bridge,0.06666666666666667,0.02622827414319792,0.15925579893767722,0.4875,0.38375000000000004,0.6804499999999999,65.5,37.5,96.3,60
20,success_min3,fractional success + >=3,3,0.05,random,0.0,0.0,0.06017393047793289,0.177,0.07585,0.36954999999999993,,,,60
20,success_original,fractional success,0,0.001,clustered,0.9833333333333333,0.9114466177322051,0.9970519161391262,0.906,0.6077,0.92005,26.5,19.95,45.099999999999994,60
20,success_original,fractional success,0,0.001,hub_bridge,1.0,0.9398260695220669,0.9999999999999999,0.9095,0.565,0.92405,25.0,18.0,39.19999999999999,60
20,success_original,fractional success,0,0.001,random,0.9833333333333333,0.9114466177322051,0.9970519161391262,0.9075,0.5967999999999999,0.9212,26.0,19.9,42.0,60
20,success_original,fractional success,0,0.005,clustered,1.0,0.9398260695220669,0.9999999999999999,0.909,0.64345,0.92405,20.5,16.0,26.0,60
20,success_original,fractional success,0,0.005,hub_bridge,1.0,0.9398260695220669,0.9999999999999999,0.9105000000000001,0.8925500000000001,0.922,18.0,15.0,25.0,60
20,success_original,fractional success,0,0.005,random,1.0,0.9398260695220669,0.9999999999999999,0.9085000000000001,0.62075,0.926,20.5,17.0,27.099999999999994,60
20,success_original,fractional success,0,0.01,clustered,1.0,0.9398260695220669,0.9999999999999999,0.91,0.8922500000000001,0.9232,18.0,15.0,21.0,60
20,success_original,fractional success,0,0.01,hub_bridge,1.0,0.9398260695220669,0.9999999999999999,0.912,0.6897,0.92605,16.0,13.95,20.0,60
20,success_original,fractional success,0,0.01,random,1.0,0.9398260695220669,0.9999999999999999,0.908,0.6779000000000001,0.924,17.0,15.0,23.049999999999997,60
20,success_original,fractional success,0,0.02,clustered,1.0,0.9398260695220669,0.9999999999999999,0.909,0.74225,0.92305,16.0,13.0,19.049999999999997,60
20,success_original,fractional success,0,0.02,hub_bridge,1.0,0.9398260695220669,0.9999999999999999,0.9105000000000001,0.7323500000000001,0.92705,13.0,12.0,17.049999999999997,60
20,success_original,fractional success,0,0.02,random,1.0,0.9398260695220669,0.9999999999999999,0.9125000000000001,0.8931500000000001,0.92705,15.0,12.95,19.049999999999997,60
20,success_original,fractional success,0,0.05,clustered,1.0,0.9398260695220669,0.9999999999999999,0.9105000000000001,0.7181000000000001,0.92305,12.0,11.0,14.0,60
20,success_original,fractional success,0,0.05,hub_bridge,1.0,0.9398260695220669,0.9999999999999999,0.911,0.9,0.9251,11.0,9.95,12.0,60
