section,section_label,k,beta,rule,variant,variant_label,success_denominator,min_successful_digital,count_k,threshold_treatment,treatment_label,theta_mean,pi,seed_strategy,seed_fraction,pioneer_strategy,replacement_digital_rule,realised_mean_degree,avg_path_length,clustering,giant_component_fraction,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.005,0.003,0.011,,,,,,,,,,,,,0.001,0.0,0.002,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.01,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.017,0.009,0.18749999999999997,55.0,41.25,81.99999999999997,,,,,,,,,,0.002,0.0009999999999999992,0.0081,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.02,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.05,0.489,0.27315000000000006,0.6572499999999993,19.0,11.9,47.0,77.0,49.75,97.65,80.5,77.35,83.65,61.0,38.05,81.65,0.015999999999999986,0.009000000000000008,0.024499999999999994,60,0.01714919117914121,0.13700734625099836
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.905,0.58995,0.923,3.0,2.0,4.049999999999997,23.0,18.0,34.05,52.0,36.8,81.99999999999994,20.0,15.0,31.049999999999997,0.033500000000000016,0.025999999999999995,0.03899999999999993,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.008,0.005,0.04369999999999956,50.0,49.1,50.9,,,,,,,,,,0.0010000000000000005,0.001,0.006049999999999997,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.01,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.2865,0.02385,0.4806999999999999,32.0,19.45,83.0,79.0,70.0,97.0,,,,66.0,51.6,70.5,0.009999999999999988,0.002999999999999999,0.017050000000000013,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.02,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.5333333333333333,0.618,0.50585,0.91705,9.0,6.95,13.0,46.5,30.0,75.29999999999998,69.0,55.5,98.0,37.0,23.0,65.0,0.023000000000000007,0.017000000000000015,0.03600000000000003,60,0.40893208671135106,0.65372298459012
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.904,0.6363,0.922,2.0,2.0,3.0,17.0,13.0,22.0,36.0,26.1,61.9,15.0,11.0,20.0,0.039,0.031000000000000028,0.04505000000000003,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,random,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,random,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.005,0.003,0.012149999999999992,54.0,54.0,54.0,,,,,,,,,,0.001,0.0,0.002049999999999997,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,random,0.01,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.018,0.009,0.25715,73.5,39.599999999999994,81.65,,,,,,,,,,0.0020000000000000018,0.0009499999999999993,0.01100000000000001,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,random,0.02,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.2,0.5215000000000001,0.37615000000000004,0.90825,14.5,9.95,25.099999999999994,63.0,41.9,87.39999999999998,90.0,66.2,99.2,49.0,29.0,75.59999999999997,0.017999999999999995,0.012949999999999958,0.03305000000000002,60,0.11828389736858964,0.3178204609181701
L_ignition,L ignition,20,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,0.96,0.05,random,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.9065000000000001,0.6133000000000001,0.92005,3.0,2.0,4.0,21.0,17.0,32.14999999999999,46.0,30.950000000000003,82.05,18.5,14.0,28.14999999999999,0.03300000000000003,0.02889999999999997,0.04205000000000003,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.005,0.003,0.005,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.01,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.009,0.007,0.011,,,,,,,,,,,,,0.0,0.0,0.0010000000000000009,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.02,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.019,0.016,0.022049999999999997,,,,,,,,,,,,,0.0010000000000000009,0.0,0.0019999999999999983,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.102,0.06085,0.26999999999999996,27.0,14.75,62.74999999999998,,,,,,,,,,0.0059999999999999915,0.0029999999999999957,0.008999999999999994,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.005,0.003,0.005,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.01,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.009,0.00795,0.011,,,,,,,,,,,,,0.0,0.0,0.0010000000000000009,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.02,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.0205,0.016950000000000003,0.02405,,,,,,,,,,,,,0.0010000000000000009,0.000950000000000001,0.0020000000000000018,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.06666666666666667,0.4875,0.38375000000000004,0.6804499999999999,7.0,5.0,11.0,65.5,37.5,96.3,94.5,91.35000000000001,97.65,59.0,32.5,90.3,0.015000000000000013,0.010949999999999996,0.026100000000000016,60,0.02622827414319792,0.15925579893767722
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,random,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,random,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.005,0.00395,0.005,,,,,,,,,,,,,0.0,0.0,4.9999999999997156e-5,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,random,0.01,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.009,0.007,0.01,,,,,,,,,,,,,0.0,0.0,0.0009999999999999992,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,random,0.02,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.019,0.017,0.022049999999999997,,,,,,,,,,,,,0.0010000000000000009,0.0,0.0020000000000000018,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,0.96,0.05,random,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.0,0.177,0.07585,0.36954999999999993,19.5,8.350000000000001,47.55,,,,,,,,,,0.00799999999999998,0.003999999999999997,0.011999999999999997,60,0.0,0.06017393047793289
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.9833333333333333,0.906,0.6077,0.92005,8.0,6.0,13.149999999999991,26.5,19.95,45.099999999999994,49.5,32.0,84.24999999999994,18.5,12.0,32.099999999999994,0.03600000000000003,0.02700000000000001,0.043050000000000026,60,0.9114466177322051,0.9970519161391262
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.909,0.64345,0.92405,5.0,4.0,7.0,20.5,16.0,26.0,37.0,29.0,67.99999999999994,15.0,11.95,20.0,0.03899999999999995,0.03200000000000003,0.045999999999999985,60,0.9398260695220669,0.9999999999999999
