t50_median,final_adoption_p05,n_runs,theta_mean,threshold_treatment,cascade_prob,final_adoption_median,final_adoption_p95,cascade_prob_ci_low,cascade_prob_ci_high
6.0,0.9089,50,0.2,homogeneous,1.0,0.946,0.97655,0.9286499658256813,1.0
6.0,0.91045,50,0.2,mixture,1.0,0.9404999999999999,0.97855,0.9286499658256813,1.0
7.0,0.90435,50,0.25,homogeneous,1.0,0.954,0.97865,0.9286499658256813,1.0
8.0,0.90645,50,0.25,mixture,1.0,0.9544999999999999,0.9746499999999999,0.9286499658256813,1.0
8.0,0.9014500000000001,50,0.3,homogeneous,1.0,0.9504999999999999,0.9721,0.9286499658256813,1.0
8.0,0.912,50,0.3,mixture,1.0,0.946,0.9715499999999999,0.9286499658256813,1.0
11.0,0.906,50,0.35,homogeneous,1.0,0.9395,0.956,0.9286499658256813,1.0
11.0,0.90045,50,0.35,mixture,1.0,0.934,0.9561,0.9286499658256813,1.0
12.0,0.9034500000000001,50,0.4,homogeneous,1.0,0.937,0.9577499999999999,0.9286499658256813,1.0
12.0,0.906,50,0.4,mixture,1.0,0.9365000000000001,0.9551999999999998,0.9286499658256813,1.0
12.0,0.9069,50,0.45,homogeneous,1.0,0.932,0.9516499999999999,0.9286499658256813,1.0
11.5,0.903,50,0.45,mixture,1.0,0.931,0.9535499999999999,0.9286499658256813,1.0
20.0,0.9054500000000001,50,0.5,homogeneous,1.0,0.9185000000000001,0.9351,0.9286499658256813,1.0
43.0,0.9,50,0.5,mixture,0.98,0.906,0.91355,0.8950431352816304,0.9964608319110235
59.5,0.2956,50,0.55,homogeneous,0.62,0.901,0.9121999999999999,0.4815019502239357,0.7413740415742278
44.0,0.90045,50,0.55,mixture,1.0,0.905,0.913,0.9286499658256813,1.0
64.0,0.38265000000000005,50,0.6,homogeneous,0.62,0.9,0.90655,0.4815019502239357,0.7413740415742278
46.0,0.7437,50,0.6,mixture,0.92,0.9045000000000001,0.9136500000000001,0.8116149745493629,0.9684509967442093
71.0,0.27354999999999996,50,0.65,homogeneous,0.26,0.7355,0.9056500000000001,0.15871379651367384,0.3955342198899992
72.5,0.1029,50,0.65,mixture,0.0,0.291,0.5364999999999999,0.0,0.07135003417431873
,0.0387,50,0.7,homogeneous,0.0,0.135,0.29155,0.0,0.07135003417431873
92.0,0.11355000000000001,50,0.7,mixture,0.0,0.3335,0.5591999999999998,0.0,0.07135003417431873
