realised_N,effort_budget,performance_benchmark,theta_low_mean,seed_count,powerlaw_alpha,cascade_threshold50,traditional_growth_sd,stopped_reason,valuation_cv,theta_sweep,performance_benchmark_sweep,transition_time,pioneer_strategy,digital_growth_sd,final_adoption,sigma,digital_growth_mean,pioneer_threshold,seed_fraction,cascade_threshold70,t10,k,stop_time,degree_variance,threshold_treatment,clustering,seed_strategy,vary_network,m,phase,beta,v0,p_digital,cascade,max_slope,max_slope_period,total_adoptions,return_distribution_sweep,giant_component_fraction,effort_label,run_seed,hazard_h,cascade_dynamic,cascade_slope_min,target_mean_degree,rule,return_distribution,theta_high,effort_metric,pi,hazard_matched_final_adoption,cascade_transition_window,cascade_final_cutoff,theta_mean,sigma_high,run_index,benchmark_percentile,abandonment_h,t50,update_schedule,network_generator,experiment,allow_abandonment,N,total_bankruptcies,pioneer_fraction,traditional_growth_mean,robustness_axis,cascade_dynamic70,theta_crit,excess_over_hazard,seed_fraction_sweep,network_seed,family,premium_ratio,theta_low,abandonment_sweep,t90,realised_edges,realised_mean_degree,avg_path_length,pioneer_count
1000,,own,,10,,false,0.1,T,22.28201991385879,,,,random,1.0,0.485,,1.5,0.05,0.01,false,12,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.012999999999999998,13,654,,1.0,,1903653153,0.01,false,0.02,4,hazard,normal,,,0.1,0.485,45,0.5,0.7,,1,0.75,0.0,,,watts_strogatz_rewire,expA_nullmodels,false,1000,181,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,28.79405281481525,,,85,random,1.0,0.504,,1.5,0.05,0.01,false,12,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.016000000000000014,23,694,,1.0,,1010549946,0.01,false,0.02,4,hazard,normal,,,0.1,0.504,45,0.5,0.7,,2,0.75,0.0,97,,watts_strogatz_rewire,expA_nullmodels,false,1000,201,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,27.252311712694436,,,80,random,1.0,0.512,,1.5,0.05,0.01,false,11,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.013999999999999999,10,698,,1.0,,432427874,0.01,false,0.02,4,hazard,normal,,,0.1,0.512,45,0.5,0.7,,3,0.75,0.0,91,,watts_strogatz_rewire,expA_nullmodels,false,1000,198,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,19.047589859154684,,,74,random,1.0,0.51,,1.5,0.05,0.01,false,11,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.013999999999999999,5,681,,1.0,,1555621,0.01,false,0.02,4,hazard,normal,,,0.1,0.51,45,0.5,0.7,,4,0.75,0.0,85,,watts_strogatz_rewire,expA_nullmodels,false,1000,183,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,false,0.1,T,20.800744790267586,,,,random,1.0,0.457,,1.5,0.05,0.01,false,13,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.011999999999999999,1,647,,1.0,,1510474692,0.01,false,0.02,4,hazard,normal,,,0.1,0.457,45,0.5,0.7,,5,0.75,0.0,,,watts_strogatz_rewire,expA_nullmodels,false,1000,202,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,16.013752182174112,,,86,random,1.0,0.514,,1.5,0.05,0.01,false,10,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.014000000000000012,19,695,,1.0,,1154611371,0.01,false,0.02,4,hazard,normal,,,0.1,0.514,45,0.5,0.7,,6,0.75,0.0,96,,watts_strogatz_rewire,expA_nullmodels,false,1000,193,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,29.778042156909518,,,80,random,1.0,0.512,,1.5,0.05,0.01,false,10,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.015000000000000001,1,699,,1.0,,1286099885,0.01,false,0.02,4,hazard,normal,,,0.1,0.512,45,0.5,0.7,,7,0.75,0.0,90,,watts_strogatz_rewire,expA_nullmodels,false,1000,199,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,18.74750665679176,,,85,random,1.0,0.506,,1.5,0.05,0.01,false,10,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.016000000000000014,16,678,,1.0,,1308402266,0.01,false,0.02,4,hazard,normal,,,0.1,0.506,45,0.5,0.7,,8,0.75,0.0,95,,watts_strogatz_rewire,expA_nullmodels,false,1000,183,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,20.684880607916945,,,89,random,1.0,0.504,,1.5,0.05,0.01,false,10,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.017999999999999988,10,694,,1.0,,1669717257,0.01,false,0.02,4,hazard,normal,,,0.1,0.504,45,0.5,0.7,,9,0.75,0.0,99,,watts_strogatz_rewire,expA_nullmodels,false,1000,200,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,false,0.1,T,17.860885310595194,,,,random,1.0,0.498,,1.5,0.05,0.01,false,10,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.016999999999999987,15,700,,1.0,,505808875,0.01,false,0.02,4,hazard,normal,,,0.1,0.498,45,0.5,0.7,,10,0.75,0.0,,,watts_strogatz_rewire,expA_nullmodels,false,1000,213,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
