realised_N,effort_budget,performance_benchmark,theta_low_mean,seed_count,powerlaw_alpha,cascade_threshold50,traditional_growth_sd,stopped_reason,valuation_cv,theta_sweep,performance_benchmark_sweep,transition_time,pioneer_strategy,digital_growth_sd,final_adoption,sigma,digital_growth_mean,pioneer_threshold,seed_fraction,cascade_threshold70,t10,k,stop_time,degree_variance,threshold_treatment,clustering,seed_strategy,vary_network,m,phase,beta,v0,p_digital,cascade,max_slope,max_slope_period,total_adoptions,return_distribution_sweep,giant_component_fraction,effort_label,run_seed,hazard_h,cascade_dynamic,cascade_slope_min,target_mean_degree,rule,return_distribution,theta_high,effort_metric,pi,hazard_matched_final_adoption,cascade_transition_window,cascade_final_cutoff,theta_mean,sigma_high,run_index,benchmark_percentile,abandonment_h,t50,update_schedule,network_generator,experiment,allow_abandonment,N,total_bankruptcies,pioneer_fraction,traditional_growth_mean,robustness_axis,cascade_dynamic70,theta_crit,excess_over_hazard,seed_fraction_sweep,network_seed,family,premium_ratio,theta_low,abandonment_sweep,t90,realised_edges,realised_mean_degree,avg_path_length,pioneer_count
1000,,own,,6,,false,0.1,stall,20.769870513815118,,,,random,1.0,0.095,,1.5,0.05,0.006,false,,4,89,0.002002002002002002,mixture,0.49891684719213464,random,true,,coarse,0.001,10.0,0.01,false,0.009000000000000001,2,124,,1.0,,1903653153,,false,0.02,4,complex,normal,,,0.05,0.486,45,0.5,0.7,,1,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,35,0.05,0.15,,false,,-0.391,,1903653153,small_world,,0.05,,,2000,4.0,106.2641041041041,50
1000,,own,,6,,false,0.1,stall,30.882525166159486,,,,random,1.0,0.075,,1.5,0.05,0.006,false,,4,84,0.006006006006006006,mixture,0.49775112443778113,random,true,,coarse,0.001,10.0,0.01,false,0.006999999999999999,2,94,,1.0,,1010549946,,false,0.02,4,complex,normal,,,0.05,0.525,45,0.5,0.7,,2,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,25,0.05,0.15,,false,,-0.45,,1010549946,small_world,,0.05,,,2000,4.0,63.574394394394396,50
1000,,own,,6,,false,0.1,T,27.045016812127354,,,,random,1.0,0.107,,1.5,0.05,0.006,false,87,4,100,0.002002002002002002,mixture,0.49891684719213464,random,true,,coarse,0.001,10.0,0.01,false,0.009,1,129,,1.0,,432427874,,false,0.02,4,complex,normal,,,0.05,0.511,45,0.5,0.7,,3,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,28,0.05,0.15,,false,,-0.404,,432427874,small_world,,0.05,,,2000,4.0,103.16551551551551,50
1000,,own,,6,,false,0.1,T,31.179562933477804,,,,random,1.0,0.117,,1.5,0.05,0.006,false,40,4,100,0.004004004004004004,mixture,0.49783405531489505,random,true,,coarse,0.001,10.0,0.01,false,0.009,2,158,,1.0,,1555621,,false,0.02,4,complex,normal,,,0.05,0.511,45,0.5,0.7,,4,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,48,0.05,0.15,,false,,-0.394,,1555621,small_world,,0.05,,,2000,4.0,85.20677677677678,50
1000,,own,,6,,false,0.1,T,28.880271546227917,,,,random,1.0,0.1,,1.5,0.05,0.006,false,92,4,100,0.006006006006006006,mixture,0.49775112443778113,random,true,,coarse,0.001,10.0,0.01,false,0.006,3,151,,1.0,,1510474692,,false,0.02,4,complex,normal,,,0.05,0.487,45,0.5,0.7,,5,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,58,0.05,0.15,,false,,-0.387,,1510474692,small_world,,0.05,,,2000,4.0,61.49743743743744,50
1000,,own,,6,,false,0.1,T,19.358555974847693,,,,random,1.0,0.144,,1.5,0.05,0.006,false,40,4,100,0.01001001001001001,mixture,0.49608659450457954,random,true,,coarse,0.001,10.0,0.01,false,0.011000000000000001,2,205,,1.0,,1154611371,,false,0.02,4,complex,normal,,,0.05,0.519,45,0.5,0.7,,6,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,67,0.05,0.15,,false,,-0.375,,1154611371,small_world,,0.05,,,2000,4.0,60.96222222222222,50
1000,,own,,6,,false,0.1,stall,31.379260092474706,,,,random,1.0,0.087,,1.5,0.05,0.006,false,,4,81,0.004004004004004004,mixture,0.49833388870376544,random,true,,coarse,0.001,10.0,0.01,false,0.008,3,125,,1.0,,1286099885,,false,0.02,4,complex,normal,,,0.05,0.478,45,0.5,0.7,,7,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,44,0.05,0.15,,false,,-0.391,,1286099885,small_world,,0.05,,,2000,4.0,104.25557557557558,50
1000,,own,,6,,false,0.1,stall,26.019586587269018,,,,random,1.0,0.113,,1.5,0.05,0.006,false,46,4,80,0.002002002002002002,mixture,0.49891684719213464,random,true,,coarse,0.001,10.0,0.01,false,0.01,2,147,,1.0,,1308402266,,false,0.02,4,complex,normal,,,0.05,0.533,45,0.5,0.7,,8,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,41,0.05,0.15,,false,,-0.42000000000000004,,1308402266,small_world,,0.05,,,2000,4.0,100.77484484484485,50
1000,,own,,6,,false,0.1,stall,19.13137990440484,,,,random,1.0,0.052,,1.5,0.05,0.006,false,,4,45,0.006006006006006006,mixture,0.49775112443778113,random,true,,coarse,0.001,10.0,0.01,false,0.007000000000000001,2,62,,1.0,,1669717257,,false,0.02,4,complex,normal,,,0.05,0.494,45,0.5,0.7,,9,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,16,0.05,0.15,,false,,-0.442,,1669717257,small_world,,0.05,,,2000,4.0,84.69378378378379,50
1000,,own,,6,,false,0.1,T,28.102751684273606,,,,random,1.0,0.093,,1.5,0.05,0.006,false,,4,100,0.004004004004004004,mixture,0.49883372209263577,random,true,,coarse,0.001,10.0,0.01,false,0.006999999999999999,2,143,,1.0,,505808875,,false,0.02,4,complex,normal,,,0.05,0.505,45,0.5,0.7,,10,0.75,0.0,,,watts_strogatz_rewire,expB_topology,false,1000,57,0.05,0.15,,false,,-0.41200000000000003,,505808875,small_world,,0.05,,,2000,4.0,101.51964964964965,50
