experiment,family,beta,m,rule,threshold_treatment,theta_mean,pi,pioneer_strategy,pioneer_count,seed_strategy,seed_count,vary_network,effort_metric,effort_budget,effort_label,robustness_axis,premium_ratio,digital_growth_sd,theta_sweep,seed_fraction_sweep,update_schedule,return_distribution,return_distribution_sweep,performance_benchmark,performance_benchmark_sweep,allow_abandonment,abandonment_sweep,final_adoption_mean,final_adoption_median,final_adoption_p05,final_adoption_p95,cascade_prob,cascade_threshold50_prob,cascade_dynamic70_prob,t50_median,t50_p05,t50_p95,transition_time_median,max_slope_median,excess_over_hazard_median,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
expB_topology,small_world,0.001,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.09766000000000005,0.098,0.06335,0.12364999999999998,0.0,0.0,0.0,,,,,0.008,-0.4,50,0.0,0.07135003417431873
expB_topology,small_world,0.005,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.09918,0.1,0.060050000000000006,0.135,0.0,0.0,0.0,,,,,0.008,-0.399,50,0.0,0.07135003417431873
expB_topology,small_world,0.01,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.11088,0.113,0.07289999999999999,0.1472,0.0,0.0,0.0,,,,,0.008000000000000004,-0.3855,50,0.0,0.07135003417431873
expB_topology,small_world,0.05,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.16872,0.1595,0.08705,0.2616,0.0,0.0,0.0,,,,,0.009,-0.33499999999999996,50,0.0,0.07135003417431873
expB_topology,small_world,0.1,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.28819999999999996,0.28,0.13625,0.46194999999999997,0.0,0.0,0.0,,,,,0.009500000000000003,-0.2205,50,0.0,0.07135003417431873
expB_topology,small_world,0.2,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.47761999999999993,0.4625,0.274,0.7141,0.06,0.42,0.06,84.0,43.0,95.0,68.0,0.012999999999999998,-0.04249999999999998,50,0.020614596364630478,0.16217343370877002
expB_topology,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.794791999999999,0.8625,0.4965,0.906,0.484,0.949,0.483,54.0,37.0,88.0,40.0,0.020000000000000018,0.36,1000,0.4531460446312376,0.514976416123527
expB_topology,small_world,0.7,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.8787200000000003,0.904,0.6666000000000001,0.9125500000000001,0.848,0.98,0.848,46.0,31.2,72.60000000000002,33.0,0.026000000000000023,0.401,250,0.7982538839765846,0.8872129583376774
expB_topology,small_world,1.0,,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.8841999999999999,0.9045000000000001,0.84335,0.9141,0.94,0.98,0.94,44.0,28.0,65.79999999999995,32.0,0.027000000000000024,0.40650000000000003,50,0.8378265662912299,0.9793854036353695
expB_topology,power_law,,2,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.7352359999999997,0.902,0.23235,0.916,0.576,0.788,0.568,43.0,19.8,86.39999999999998,33.0,0.03500000000000003,0.392,250,0.5140438113999315,0.6356558438181257
expB_topology,degree_matched_random,,2,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.8952199999999999,0.903,0.9,0.91055,0.94,1.0,0.94,38.5,26.0,56.0,26.5,0.03400000000000003,0.4025,50,0.8378265662912299,0.9793854036353695
expB_topology,power_law,,3,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.9274800000000001,0.9275,0.9034500000000001,0.9515499999999999,1.0,1.0,1.0,24.5,14.350000000000001,42.0,15.0,0.08899999999999997,0.42850000000000005,50,0.9286499658256813,1.0
expB_topology,degree_matched_random,,3,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.8978600000000001,0.904,0.9,0.91155,0.98,1.0,0.98,38.0,25.25,55.84999999999998,26.5,0.03350000000000003,0.401,50,0.8950431352816304,0.9964608319110235
expB_topology,power_law,,5,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.9581800000000007,0.964,0.907,0.992,1.0,1.0,1.0,13.0,10.0,19.0,7.0,0.16700000000000004,0.46099999999999997,1000,0.9961731014136095,1.0
expB_topology,degree_matched_random,,5,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.9004999999999999,0.903,0.9,0.91,0.96,1.0,0.96,37.0,24.0,59.19999999999999,26.0,0.0335,0.403,50,0.8653966212204534,0.9889613473391734
expB_topology,power_law,,8,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.9608800000000001,0.968,0.902,0.995,1.0,1.0,1.0,11.0,9.0,13.549999999999997,6.0,0.201,0.46549999999999997,50,0.9286499658256813,1.0
expB_topology,degree_matched_random,,8,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.8975800000000004,0.904,0.9,0.90955,0.92,1.0,0.92,37.5,24.0,64.55,25.5,0.03299999999999992,0.406,50,0.8116149745493629,0.9684509967442093
expB_topology,power_law,,12,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.9653,0.9744999999999999,0.9079,0.997,1.0,1.0,1.0,10.0,9.0,13.0,5.0,0.21200000000000002,0.46849999999999997,50,0.9286499658256813,1.0
expB_topology,degree_matched_random,,12,complex,mixture,0.7,0.05,random,50,random,6,true,,,,,,1.0,,,,normal,,own,,false,,0.8955720000000005,0.903,0.89195,0.912,0.94,0.992,0.94,38.0,24.35,66.0,26.0,0.03300000000000003,0.405,250,0.9033762972146848,0.9633059172056464
