realised_N,effort_budget,performance_benchmark,theta_low_mean,seed_count,powerlaw_alpha,cascade_threshold50,traditional_growth_sd,stopped_reason,valuation_cv,theta_sweep,performance_benchmark_sweep,transition_time,pioneer_strategy,digital_growth_sd,final_adoption,sigma,digital_growth_mean,pioneer_threshold,seed_fraction,cascade_threshold70,t10,k,stop_time,degree_variance,threshold_treatment,clustering,seed_strategy,vary_network,m,phase,beta,v0,p_digital,cascade,max_slope,max_slope_period,total_adoptions,return_distribution_sweep,giant_component_fraction,effort_label,run_seed,hazard_h,cascade_dynamic,cascade_slope_min,target_mean_degree,rule,return_distribution,theta_high,effort_metric,pi,hazard_matched_final_adoption,cascade_transition_window,cascade_final_cutoff,theta_mean,sigma_high,run_index,benchmark_percentile,abandonment_h,t50,update_schedule,network_generator,experiment,allow_abandonment,N,total_bankruptcies,pioneer_fraction,traditional_growth_mean,robustness_axis,cascade_dynamic70,theta_crit,excess_over_hazard,seed_fraction_sweep,network_seed,family,premium_ratio,theta_low,abandonment_sweep,t90,realised_edges,realised_mean_degree,avg_path_length,pioneer_count
1000,,own,,10,,true,0.1,T,20.977129033061964,,,52,none,1.0,0.78,,1.5,,0.01,true,13,4,100,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,false,0.016000000000000014,58,997,,1.0,,1903653153,,false,0.02,4,complex,normal,,,,0.476,45,0.5,0.7,,1,0.75,0.0,65,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,229,0.0,0.15,,false,,0.30400000000000005,,9001,small_world,,,,,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,T,19.69292524204489,,,65,none,1.0,0.654,,1.5,,0.01,false,12,4,100,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,false,0.017000000000000015,78,846,,1.0,,1010549946,,false,0.02,4,complex,normal,,,,0.497,45,0.5,0.7,,2,0.75,0.0,77,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,202,0.0,0.15,,false,,0.15700000000000003,,9001,small_world,,,,,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,T,22.40915354807408,,,39,none,1.0,0.863,,1.5,,0.01,true,7,4,100,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,false,0.01899999999999999,13,1157,,1.0,,432427874,,false,0.02,4,complex,normal,,,,0.512,45,0.5,0.7,,3,0.75,0.0,46,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,305,0.0,0.15,,false,,0.351,,9001,small_world,,,,,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,T,21.457570401896074,,,42,none,1.0,0.797,,1.5,,0.01,true,15,4,100,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,true,0.020000000000000018,34,1054,,1.0,,1555621,,true,0.02,4,complex,normal,,,,0.501,45,0.5,0.7,,4,0.75,0.0,57,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,269,0.0,0.15,,true,,0.29600000000000004,,9001,small_world,,,,,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,T,15.046005780458666,,,64,none,1.0,0.643,,1.5,,0.01,false,13,4,100,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,false,0.013999999999999957,53,833,,1.0,,1510474692,,false,0.02,4,complex,normal,,,,0.496,45,0.5,0.7,,5,0.75,0.0,77,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,203,0.0,0.15,,false,,0.14700000000000002,,9001,small_world,,,,,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,T,15.197163184849813,,,47,none,1.0,0.83,,1.5,,0.01,true,9,4,100,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,false,0.017000000000000015,56,1104,,1.0,,1154611371,,false,0.02,4,complex,normal,,,,0.511,45,0.5,0.7,,6,0.75,0.0,56,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,285,0.0,0.15,,false,,0.31899999999999995,,9001,small_world,,,,,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,A90,30.91019453295353,,,30,none,1.0,0.904,,1.5,,0.01,true,11,4,79,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,true,0.02099999999999999,19,1142,,1.0,,1286099885,,true,0.02,4,complex,normal,,,,0.462,45,0.5,0.7,,7,0.75,0.0,41,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,250,0.0,0.15,,true,,0.442,,9001,small_world,,,,79,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,T,31.30107582371133,,,54,none,1.0,0.789,,1.5,,0.01,true,8,4,100,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,false,0.017,7,1028,,1.0,,1308402266,,false,0.02,4,complex,normal,,,,0.551,45,0.5,0.7,,8,0.75,0.0,62,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,253,0.0,0.15,,false,,0.238,,9001,small_world,,,,,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,T,22.923745683750045,,,52,none,1.0,0.742,,1.5,,0.01,true,12,4,100,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,false,0.017000000000000015,63,1006,,1.0,,1669717257,,false,0.02,4,complex,normal,,,,0.506,45,0.5,0.7,,9,0.75,0.0,64,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,279,0.0,0.15,,false,,0.236,,9001,small_world,,,,,2000,4.0,5.835375375375375,0
1000,,own,,10,,true,0.1,A90,22.520295136604716,,,41,none,1.0,0.901,,1.5,,0.01,true,12,4,90,1.3493493493493494,homogeneous,0.09529517530716212,random,false,,coarse,0.4,10.0,0.01,true,0.029999999999999916,56,1142,,1.0,,505808875,,true,0.02,4,complex,normal,,,,0.509,45,0.5,0.7,,10,0.75,0.0,53,,watts_strogatz_rewire,expC_culture_vs_misfits,false,1000,253,0.0,0.15,,true,,0.392,,9001,small_world,,,,90,2000,4.0,5.835375375375375,0
