experiment,family,beta,m,rule,threshold_treatment,theta_mean,pi,pioneer_strategy,pioneer_count,seed_strategy,seed_count,vary_network,effort_metric,effort_budget,effort_label,robustness_axis,premium_ratio,digital_growth_sd,theta_sweep,seed_fraction_sweep,update_schedule,return_distribution,return_distribution_sweep,performance_benchmark,performance_benchmark_sweep,allow_abandonment,abandonment_sweep,final_adoption_mean,final_adoption_median,final_adoption_p05,final_adoption_p95,cascade_prob,cascade_threshold50_prob,cascade_dynamic70_prob,t50_median,t50_p05,t50_p95,transition_time_median,max_slope_median,excess_over_hazard_median,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
expC_culture_vs_misfits,small_world,0.4,,complex,homogeneous,0.7,,none,0,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.7202439999999991,0.749,0.4218,0.903,0.2,0.881,0.2,61.0,41.0,91.99999999999989,50.0,0.017000000000000015,0.247,1000,0.17637667806123578,0.2259194610905986
expC_culture_vs_misfits,small_world,0.4,,complex,lower_mean,0.7,,none,0,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.7860489999999983,0.8405,0.497,0.906,0.363,0.947,0.363,57.0,39.0,89.0,46.0,0.019000000000000017,0.3445,1000,0.33377243706453497,0.39327613314813614
expC_culture_vs_misfits,small_world,0.4,,complex,higher_variance,0.7,,none,0,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.9011529999999937,0.902,0.89895,0.909,0.988,1.0,0.988,31.5,23.0,46.0,23.0,0.031000000000000028,0.402,1000,0.9791425260718425,0.9931224209078404
expC_culture_vs_misfits,small_world,0.4,,complex,mixture,0.7,0.01,random,10,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.782616,0.841,0.48929999999999996,0.9055500000000001,0.376,0.944,0.376,55.0,35.75,89.0,44.0,0.019000000000000017,0.34099999999999997,250,0.31825876924195456,0.4374944248759521
expC_culture_vs_misfits,small_world,0.4,,complex,mixture,0.7,0.03,random,30,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.844896,0.9,0.6557999999999999,0.906,0.592,0.992,0.592,46.0,31.0,74.0,36.0,0.02100000000000002,0.389,250,0.5301320093936375,0.6510833627124317
expC_culture_vs_misfits,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.8906039999999971,0.902,0.8168499999999999,0.909,0.859,1.0,0.859,38.0,26.0,60.0,29.0,0.024999999999999994,0.4,1000,0.8360530673212659,0.8791992194937056
expC_culture_vs_misfits,small_world,0.4,,complex,mixture,0.7,0.1,random,100,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.80134,0.8065,0.7192,0.89865,0.96,1.0,0.94,32.0,23.0,45.84999999999998,24.0,0.025999999999999995,0.3095,50,0.8653966212204534,0.9889613473391734
expC_culture_vs_misfits,small_world,0.05,,complex,mixture,0.7,0.01,random,10,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.22752000000000008,0.2245,0.1578,0.3055,0.0,0.0,0.0,,,,,0.012,-0.276,50,0.0,0.07135003417431873
expC_culture_vs_misfits,small_world,0.05,,complex,mixture,0.7,0.03,random,30,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.26654,0.26,0.2066,0.3524999999999999,0.0,0.0,0.0,,,,,0.012000000000000002,-0.2445,50,0.0,0.07135003417431873
expC_culture_vs_misfits,small_world,0.05,,complex,mixture,0.7,0.05,random,50,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.28228,0.275,0.18805,0.38955,0.0,0.0,0.0,,,,,0.012999999999999998,-0.2255,50,0.0,0.07135003417431873
expC_culture_vs_misfits,small_world,0.05,,complex,mixture,0.7,0.1,random,100,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.30660000000000004,0.3065,0.20135,0.4201499999999999,0.0,0.0,0.0,,,,,0.014,-0.1925,50,0.0,0.07135003417431873
expC_culture_vs_misfits,small_world,0.1,,complex,mixture,0.7,0.01,random,10,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.3349999999999999,0.3405,0.22125,0.4532499999999998,0.0,0.02,0.0,93.0,93.0,93.0,82.0,0.012000000000000004,-0.166,50,0.0,0.07135003417431873
expC_culture_vs_misfits,small_world,0.1,,complex,mixture,0.7,0.03,random,30,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.39538000000000006,0.3905,0.2828,0.5549999999999999,0.0,0.1,0.0,79.0,65.6,85.8,71.0,0.013000000000000003,-0.11050000000000001,50,0.0,0.07135003417431873
expC_culture_vs_misfits,small_world,0.1,,complex,mixture,0.7,0.05,random,50,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.42322000000000004,0.4215,0.3136,0.5462,0.0,0.16,0.0,87.5,74.10000000000001,95.55,78.0,0.013000000000000003,-0.08700000000000002,50,0.0,0.07135003417431873
expC_culture_vs_misfits,small_world,0.1,,complex,mixture,0.7,0.1,random,100,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.41681999999999997,0.413,0.27715,0.5388,0.02,0.16,0.0,88.0,54.4,94.4,80.0,0.014999999999999993,-0.08800000000000002,50,0.0035391680889764604,0.10495686471836953
