experiment,family,beta,m,rule,threshold_treatment,theta_mean,pi,pioneer_strategy,pioneer_count,seed_strategy,seed_count,vary_network,effort_metric,effort_budget,effort_label,robustness_axis,premium_ratio,digital_growth_sd,theta_sweep,seed_fraction_sweep,update_schedule,return_distribution,return_distribution_sweep,performance_benchmark,performance_benchmark_sweep,allow_abandonment,abandonment_sweep,final_adoption_mean,final_adoption_median,final_adoption_p05,final_adoption_p95,cascade_prob,cascade_threshold50_prob,cascade_dynamic70_prob,t50_median,t50_p05,t50_p95,transition_time_median,max_slope_median,excess_over_hazard_median,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
expC_equal_effort,small_world,0.4,,complex,lower_mean,0.7,,none,0,random,10,false,l1,0.02,l1_lower_mean,,,1.0,,,,normal,,own,,false,,0.7913114285714273,0.847,0.514,0.9055500000000001,0.36952380952380953,0.9580952380952381,0.36952380952380953,56.0,37.0,88.0,44.0,0.019000000000000017,0.35,1050,0.34085324802926875,0.3991456284622268
expC_equal_effort,small_world,0.4,,complex,higher_variance,0.7,,none,0,random,10,false,l1,0.02,l1_higher_variance,,,1.0,,,,normal,,own,,false,,0.7806761904761905,0.8354999999999999,0.4895,0.905,0.3438095238095238,0.9457142857142857,0.3438095238095238,57.0,38.0,87.0,45.0,0.019000000000000017,0.33299999999999996,1050,0.3156956702352165,0.37306210892248615
expC_equal_effort,small_world,0.4,,complex,mixture,0.7,0.015384615384615387,random,15,random,10,false,l1,0.02,l1_mixture,,,1.0,,,,normal,,own,,false,,0.7998339999999989,0.8554999999999999,0.5329,0.905,0.404,0.964,0.404,53.0,36.0,84.84999999999991,42.0,0.019000000000000017,0.355,1000,0.37400966629366145,0.4347250982349257
expC_equal_effort,small_world,0.4,,complex,lower_mean,0.7,,none,0,random,10,false,l1,0.05,l1_lower_mean,,,1.0,,,,normal,,own,,false,,0.9136885714285693,0.913,0.901,0.929,1.0,1.0,1.0,28.0,21.0,39.0,18.0,0.051999999999999935,0.41400000000000003,1050,0.9963546703793055,0.9999999999999999
expC_equal_effort,small_world,0.4,,complex,higher_variance,0.7,,none,0,random,10,false,l1,0.05,l1_higher_variance,,,1.0,,,,normal,,own,,false,,0.8521304761904732,0.9,0.63445,0.907,0.6266666666666667,0.9847619047619047,0.6266666666666667,49.0,34.0,78.0,38.0,0.02200000000000002,0.391,1050,0.5969977627444808,0.6554120870849433
expC_equal_effort,small_world,0.4,,complex,mixture,0.7,0.03846153846153847,random,38,random,10,false,l1,0.05,l1_mixture,,,1.0,,,,normal,,own,,false,,0.8708159999999984,0.901,0.712,0.908,0.735,1.0,0.735,43.0,29.0,69.0,33.0,0.02300000000000002,0.3945,1000,0.7067841462790525,0.7614172113853439
expC_equal_effort,small_world,0.4,,complex,lower_mean,0.7,,none,0,random,10,false,mass_below_crit,0.03,mass_lower_mean,,,1.0,,,,normal,,own,,false,,0.9409247619047618,0.935,0.904,0.992,1.0,1.0,1.0,4.0,4.0,4.0,2.0,0.323,0.43599999999999994,1050,0.9963546703793055,0.9999999999999999
expC_equal_effort,small_world,0.4,,complex,higher_variance,0.7,,none,0,random,10,false,mass_below_crit,0.03,mass_higher_variance,,,1.0,,,,normal,,own,,false,,0.9069333333333297,0.906,0.9,0.918,1.0,1.0,1.0,9.0,8.0,11.0,6.0,0.07600000000000001,0.406,1050,0.9963546703793055,0.9999999999999999
expC_equal_effort,small_world,0.4,,complex,mixture,0.7,0.03,random,30,random,10,false,mass_below_crit,0.03,mass_mixture,,,1.0,,,,normal,,own,,false,,0.8431419999999965,0.9,0.6099,0.907,0.573,0.99,0.573,46.0,32.45,77.0,36.0,0.02100000000000002,0.3855,1000,0.5421198333410192,0.6033214394653678
expC_equal_effort,small_world,0.4,,complex,lower_mean,0.7,,none,0,random,10,false,mass_below_crit,0.05,mass_lower_mean,,,1.0,,,,normal,,own,,false,,0.9432590476190473,0.939,0.906,0.992,1.0,1.0,1.0,4.0,4.0,4.0,2.0,0.324,0.44099999999999995,1050,0.9963546703793055,0.9999999999999999
expC_equal_effort,small_world,0.4,,complex,higher_variance,0.7,,none,0,random,10,false,mass_below_crit,0.05,mass_higher_variance,,,1.0,,,,normal,,own,,false,,0.9071752380952368,0.906,0.9,0.918,1.0,1.0,1.0,9.0,8.0,11.0,6.0,0.07599999999999996,0.406,1050,0.9963546703793055,0.9999999999999999
expC_equal_effort,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,10,false,mass_below_crit,0.05,mass_mixture,,,1.0,,,,normal,,own,,false,,0.8902949999999966,0.902,0.8187499999999999,0.908,0.869,1.0,0.869,38.0,27.0,59.0,29.0,0.024999999999999994,0.399,1000,0.8466679220596967,0.8885078267835471
