realised_N,effort_budget,performance_benchmark,theta_low_mean,seed_count,powerlaw_alpha,cascade_threshold50,traditional_growth_sd,stopped_reason,valuation_cv,theta_sweep,performance_benchmark_sweep,transition_time,pioneer_strategy,digital_growth_sd,final_adoption,sigma,digital_growth_mean,pioneer_threshold,seed_fraction,cascade_threshold70,t10,k,stop_time,degree_variance,threshold_treatment,clustering,seed_strategy,vary_network,m,phase,beta,v0,p_digital,cascade,max_slope,max_slope_period,total_adoptions,return_distribution_sweep,giant_component_fraction,effort_label,run_seed,hazard_h,cascade_dynamic,cascade_slope_min,target_mean_degree,rule,return_distribution,theta_high,effort_metric,pi,hazard_matched_final_adoption,cascade_transition_window,cascade_final_cutoff,theta_mean,sigma_high,run_index,benchmark_percentile,abandonment_h,t50,update_schedule,network_generator,experiment,allow_abandonment,N,total_bankruptcies,pioneer_fraction,traditional_growth_mean,robustness_axis,cascade_dynamic70,theta_crit,excess_over_hazard,seed_fraction_sweep,network_seed,family,premium_ratio,theta_low,abandonment_sweep,t90,realised_edges,realised_mean_degree,avg_path_length,pioneer_count
1000,,own,,6,,true,0.1,T,31.611995851411844,,,40,random,1.0,0.692,,1.5,0.05,0.006,false,23,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.020999999999999963,61,905,,1.0,,1903653153,,true,0.02,4,complex,normal,,,0.05,0.486,45,0.5,0.7,,1,0.75,0.0,63,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,221,0.05,0.15,,false,,0.20599999999999996,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,28.72651471229747,,,42,random,1.0,0.891,,1.5,0.05,0.006,true,11,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.02200000000000002,56,1159,,1.0,,1010549946,,true,0.02,4,complex,normal,,,0.05,0.525,45,0.5,0.7,,2,0.75,0.0,53,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,275,0.05,0.15,,true,,0.366,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,A90,22.455637183513677,,,36,random,1.0,0.904,,1.5,0.05,0.006,true,14,4,96,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.02299999999999991,55,1146,,1.0,,432427874,,true,0.02,4,complex,normal,,,0.05,0.511,45,0.5,0.7,,3,0.75,0.0,50,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,251,0.05,0.15,,true,,0.393,,2701,small_world,,0.05,,96,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,A90,31.587113974583776,,,33,random,1.0,0.902,,1.5,0.05,0.006,true,11,4,92,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.020000000000000018,46,1159,,1.0,,1555621,,true,0.02,4,complex,normal,,,0.05,0.511,45,0.5,0.7,,4,0.75,0.0,44,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,265,0.05,0.15,,true,,0.391,,2701,small_world,,0.05,,92,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,29.077877797738164,,,41,random,1.0,0.809,,1.5,0.05,0.006,true,22,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.02300000000000002,53,1031,,1.0,,1510474692,,true,0.02,4,complex,normal,,,0.05,0.487,45,0.5,0.7,,5,0.75,0.0,63,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,230,0.05,0.15,,true,,0.32200000000000006,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,25.99569175842415,,,38,random,1.0,0.847,,1.5,0.05,0.006,true,13,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.02099999999999999,23,1134,,1.0,,1154611371,,true,0.02,4,complex,normal,,,0.05,0.519,45,0.5,0.7,,6,0.75,0.0,51,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,294,0.05,0.15,,true,,0.32799999999999996,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,A90,31.080092314345034,,,37,random,1.0,0.904,,1.5,0.05,0.006,true,12,4,88,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.02400000000000002,54,1188,,1.0,,1286099885,,true,0.02,4,complex,normal,,,0.05,0.478,45,0.5,0.7,,7,0.75,0.0,49,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,292,0.05,0.15,,true,,0.42600000000000005,,2701,small_world,,0.05,,88,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,A90,12.02456337032929,,,29,random,1.0,0.904,,1.5,0.05,0.006,true,8,4,73,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.02400000000000002,34,1129,,1.0,,1308402266,,true,0.02,4,complex,normal,,,0.05,0.533,45,0.5,0.7,,8,0.75,0.0,37,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,233,0.05,0.15,,true,,0.371,,2701,small_world,,0.05,,73,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,17.15603133357712,,,47,random,1.0,0.802,,1.5,0.05,0.006,true,10,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.016999999999999904,63,1099,,1.0,,1669717257,,false,0.02,4,complex,normal,,,0.05,0.494,45,0.5,0.7,,9,0.75,0.0,57,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,307,0.05,0.15,,false,,0.30800000000000005,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,21.157993694589184,,,57,random,1.0,0.67,,1.5,0.05,0.006,false,16,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.015000000000000013,44,861,,1.0,,505808875,,false,0.02,4,complex,normal,,,0.05,0.505,45,0.5,0.7,,10,0.75,0.0,73,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,197,0.05,0.15,,false,,0.16500000000000004,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
