experiment,family,beta,m,rule,threshold_treatment,theta_mean,pi,pioneer_strategy,pioneer_count,seed_strategy,seed_count,vary_network,effort_metric,effort_budget,effort_label,robustness_axis,premium_ratio,digital_growth_sd,theta_sweep,seed_fraction_sweep,update_schedule,return_distribution,return_distribution_sweep,performance_benchmark,performance_benchmark_sweep,allow_abandonment,abandonment_sweep,final_adoption_mean,final_adoption_median,final_adoption_p05,final_adoption_p95,cascade_prob,cascade_threshold50_prob,cascade_dynamic70_prob,t50_median,t50_p05,t50_p95,transition_time_median,max_slope_median,excess_over_hazard_median,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,1.5,0.25,,,,normal,,own,,false,,0.41220000000000007,0.412,0.2472,0.6014999999999999,0.0,0.22,0.0,84.0,78.0,93.5,66.0,0.010999999999999989,-0.23300000000000004,50,0.0,0.07135003417431873
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,1.5,0.75,,,,normal,,own,,false,,0.011100000000000006,0.01,0.00245,0.023549999999999998,0.0,0.0,0.0,,,,,0.004,-0.14049999999999999,50,0.0,0.07135003417431873
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,1.5,1.0,,,,normal,,own,,false,,0.002780000000000001,0.003,0.0,0.008099999999999994,0.0,0.0,0.0,,,,,0.004,-0.0735,50,0.0,0.07135003417431873
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,2.0,0.25,,,,normal,,own,,false,,0.68452,0.6995,0.44994999999999996,0.8951499999999999,0.08,0.88,0.08,71.0,52.0,93.0,52.5,0.017,0.06949999999999995,50,0.031549003255790686,0.18838502545063704
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,2.0,0.75,,,,normal,,own,,false,,0.021420000000000012,0.0185,0.008,0.04554999999999999,0.0,0.0,0.0,,,,,0.004999999999999999,-0.16399999999999998,50,0.0,0.07135003417431873
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,2.0,1.0,,,,normal,,own,,false,,0.005420000000000003,0.0045000000000000005,0.0,0.013,0.0,0.0,0.0,,,,,0.004,-0.089,50,0.0,0.07135003417431873
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,3.0,0.25,,,,normal,,own,,false,,0.8577200000000004,0.901,0.6396999999999999,0.908,0.604,1.0,0.604,50.0,35.0,82.0,36.0,0.021999999999999936,0.256,250,0.5422409376574205,0.6626112221146577
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,3.0,0.75,,,,normal,,own,,false,,0.07013999999999998,0.064,0.031,0.1253,0.0,0.0,0.0,,,,,0.006999999999999999,-0.20299999999999996,50,0.0,0.07135003417431873
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,3.0,1.0,,,,normal,,own,,false,,0.009360000000000004,0.009,0.00245,0.019,0.0,0.0,0.0,,,,,0.004999999999999999,-0.107,50,0.0,0.07135003417431873
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,5.0,0.25,,,,normal,,own,,false,,0.8974320000000003,0.903,0.8639,0.91,0.892,0.996,0.892,43.0,32.0,63.599999999999994,31.0,0.025000000000000022,0.267,250,0.8474265111015622,0.9247085526547332
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,5.0,0.75,,,,normal,,own,,false,,0.47911999999999993,0.4475,0.24895,0.7534,0.06,0.42,0.06,73.0,48.0,90.0,59.0,0.012499999999999983,0.007500000000000007,50,0.020614596364630478,0.16217343370877002
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,5.0,1.0,,,,normal,,own,,false,,0.06376,0.062,0.02935,0.10364999999999999,0.0,0.0,0.0,,,,,0.008,-0.134,50,0.0,0.07135003417431873
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,10.0,0.25,,,,normal,,own,,false,,0.8923520000000005,0.903,0.8227,0.9115500000000001,0.852,0.996,0.852,43.0,30.0,67.79999999999998,31.0,0.025000000000000022,0.267,250,0.8026649802416493,0.8906807912946159
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,10.0,0.75,,,,normal,,own,,false,,0.8885519999999995,0.903,0.8206,0.91,0.828,0.992,0.828,43.5,29.0,67.60000000000002,31.0,0.02499999999999991,0.277,250,0.7763462457575925,0.8697259504466546
robustness,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,premium_sigma,10.0,1.0,,,,normal,,own,,false,,0.7990200000000005,0.863,0.47614999999999996,0.905,0.452,0.94,0.452,54.0,37.7,82.30000000000001,40.0,0.01999999999999999,0.3625,250,0.3914963575347428,0.513956491801221
robustness,small_world,0.4,,complex,mixture,0.6499999999999999,0.05,random,50,random,6,false,,,,theta_mean,,1.0,0.6499999999999999,,,normal,,own,,false,,0.8164480000000008,0.8875,0.53895,0.906,0.516,0.96,0.516,52.5,35.95,83.15000000000003,39.0,0.020999999999999908,0.381,250,0.4542790313566007,0.5772366855314113
